,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
17980,14490,Renault,Megane,Diesel,55500,Manuelle,5.0,2018.0
17981,11500,Citroen,C3,Diesel,55500,Manuelle,4.0,2018.0
17982,16990,Renault,Megane,Diesel,55500,Automatique,5.0,2018.0
17983,19200,Peugeot,308,Diesel,55500,Automatique,7.0,2018.0
17984,28500,Mercedes,Classe A,Diesel,55500,Automatique,6.0,2018.0
17985,15990,Peugeot,308,Diesel,55500,Manuelle,5.0,2019.0
17986,11900,Renault,Clio,Diesel,55500,Manuelle,4.0,2019.0
17987,26000,Volkswagen,Golf,Essence,55500,Automatique,14.0,2019.0
17988,17490,Peugeot,2008,Diesel,55500,Automatique,6.0,2019.0
17989,28000,Volkswagen,Tiguan,Essence,55500,Automatique,8.0,2020.0
17990,16900,Renault,Clio,Diesel,55500,Manuelle,6.0,2020.0
17991,14490,Renault,Clio,Diesel,55502,Manuelle,4.0,2019.0
17992,18990,Peugeot,308,Essence,55507,Automatique,7.0,2019.0
17993,22990,Audi,A1,Essence,55509,Automatique,6.0,2019.0
17994,14290,Citroen,C3,Essence,55511,Manuelle,5.0,2019.0
17995,13490,Renault,Captur,Essence,55512,Manuelle,5.0,2018.0
17996,8500,Citroen,C3,Diesel,55513,Manuelle,4.0,2014.0
17997,22966,Audi,A4,Essence,55515,Automatique,8.0,2017.0
17998,17499,Renault,Megane,Diesel,55520,Manuelle,6.0,2020.0
17999,20990,Peugeot,308,Diesel,55520,Manuelle,7.0,2021.0
18000,18990,Renault,Kadjar,Essence,55523,Manuelle,8.0,2019.0
18001,18490,Renault,Scenic,Diesel,55530,Manuelle,7.0,2018.0
18002,31163,Peugeot,3008,Essence,55530,Automatique,10.0,2019.0
18003,16190,Renault,Scenic,Diesel,55532,Manuelle,5.0,2018.0
18004,16290,Renault,Megane,Diesel,55540,Manuelle,6.0,2017.0
18005,13990,Citroen,C3,Diesel,55547,Manuelle,5.0,2020.0
18006,9990,Peugeot,208,Diesel,55548,Automatique,5.0,2013.0
18007,12980,Renault,Clio,Essence,55549,Manuelle,5.0,2018.0
18008,9890,Peugeot,208,Diesel,55555,Manuelle,4.0,2017.0
18009,12900,Renault,Clio,Diesel,55558,Manuelle,5.0,2019.0
18010,28990,Peugeot,508,Essence,55566,Automatique,9.0,2019.0
18011,8990,Fiat,500,Essence,55570,Manuelle,4.0,2012.0
18012,7959,Renault,Twingo,Essence,55576,Manuelle,4.0,2015.0
18013,13890,Citroen,C4,Diesel,55582,Manuelle,5.0,2017.0
18014,12490,Peugeot,208,Essence,55592,Manuelle,4.0,2019.0
18015,9990,Renault,Clio,Diesel,55595,Manuelle,4.0,2016.0
18016,10990,Peugeot,208,Diesel,55600,Manuelle,4.0,2016.0
18017,9990,Peugeot,208,Diesel,55600,Manuelle,5.0,2017.0
18018,17490,Renault,Megane,Essence,55600,Manuelle,7.0,2018.0
18019,11990,Renault,Clio,Diesel,55602,Manuelle,4.0,2019.0
18020,17990,Audi,A1,Diesel,55608,Manuelle,5.0,2018.0
18021,14490,Fiat,500,Essence,55620,Manuelle,6.0,2019.0
18022,22490,Volkswagen,Tiguan,Essence,55621,Manuelle,7.0,2018.0
18023,19900,Peugeot,208,Essence,55622,Manuelle,11.0,2018.0
18024,12990,Volkswagen,Golf,Essence,55624,Manuelle,5.0,2013.0
18025,21490,Bmw,Serie 1,Essence,55625,Automatique,7.0,2019.0
18026,13990,Dacia,Duster,Essence,55628,Manuelle,7.0,2016.0
18027,12499,Renault,Clio,Diesel,55643,Manuelle,4.0,2017.0
18028,10990,Renault,Twingo,Essence,55653,Manuelle,6.0,2016.0
18029,8500,Renault,Twingo,Essence,55660,Manuelle,4.0,2016.0
18030,12490,Renault,Clio,Diesel,55665,Manuelle,4.0,2020.0
18031,9890,Dacia,Sandero,Essence,55672,Manuelle,5.0,2016.0
18032,15490,Renault,Clio,Essence,55675,Manuelle,6.0,2018.0
18033,24999,Nissan,Qashqai,Diesel,55675,Manuelle,8.0,2019.0
18034,4900,Dacia,Sandero,Essence,55677,Manuelle,5.0,2008.0
18035,14790,Ford,Fiesta,Essence,55685,Manuelle,5.0,2018.0
18036,28900,Audi,A3,Diesel,55688,Automatique,8.0,2019.0
18037,17490,Peugeot,308,Diesel,55689,Manuelle,5.0,2018.0
18038,14990,Peugeot,2008,Diesel,55690,Manuelle,5.0,2018.0
18039,10590,Volkswagen,Polo,Essence,55697,Manuelle,4.0,2015.0
